date,grid_import,grid_export,pv_gen
2023/05/21,172,27,46.17
2023/05/28,194,39,68.21
2023/06/04,213,54,94.21
2023/06/11,239,62,111.05
2023/06/18,262,79,141.24
2023/06/25,283,91,164.14
2023/07/02,308,101,183.10
2023/07/09,331,112,204.36
2023/07/16,350,125,226.16
2023/07/23,369,140,249.44
2023/07/30,391,148,267.67
2023/08/06,417,156,283.38
2023/08/13,442,165,303.84
2023/08/20,469,172,320.02
2023/08/29,500,186,344.70
2023/09/03,516,197,361.95
2023/09/10,540,209,384.44
2023/09/17,565,217,400.51
2023/09/24,598,221,409.36
2023/10/01,633,224,419.36
2023/10/08,668,229,429.24
2023/10/15,704,235,442.77
2023/10/22,749,238,451.29
2023/10/29,796,240,456.82
2023/11/05,849,241,460.62
2023/11/12,895,244,471.93
2023/11/19,950,245,474.58
2023/11/26,995,246,479.51
2023/12/03,1047,246,482.81
2023/12/10,1097,247,484.72
2023/12/17,1144,247,485.43
2023/12/24,1196,247,486.59
2023/12/31,1247,247,488.04
2024/01/07,1297,247,491.06
2024/01/14,1351,247,493
2024/01/21,1403,248,500.17
2024/01/28,1456,249,504.46
2024/02/04,1506,250,510.72
2024/02/11,1555,252,516.63