date,deaths
01-2006,49124
02-2006,42664
03-2006,49207
04-2006,40645
05-2006,42425
06-2006,40797
07-2006,38870
08-2006,39140
09-2006,36594
10-2006,40390
11-2006,42326
12-2006,40417
01-2007,50305
02-2007,44669
03-2007,44358
04-2007,41416
05-2007,41579
06-2007,38028
07-2007,39729
08-2007,39048
09-2007,35215
10-2007,42935
11-2007,42832
12-2007,43938
01-2008,52057
02-2008,42338
03-2008,41999
04-2008,46016
05-2008,39240
06-2008,37845
07-2008,40084
08-2008,34980
09-2008,39238
10-2008,42195
11-2008,39504
12-2008,53594
01-2009,55045
02-2009,41433
03-2009,42395
04-2009,40270
05-2009,36568
06-2009,38851
07-2009,37975
08-2009,33606
09-2009,39127
10-2009,40187
11-2009,40122
12-2009,45769
01-2010,48363
02-2010,41048
03-2010,45138
04-2010,40584
05-2010,36517
06-2010,40168
07-2010,36888
08-2010,36083
09-2010,39423
10-2010,38613
11-2010,42123
12-2010,48294
01-2011,49992
02-2011,39350
03-2011,44209
04-2011,36943
05-2011,40100
06-2011,40000
07-2011,35646
08-2011,38383
09-2011,38358
10-2011,37200
11-2011,40624
12-2011,43562
01-2012,46897
02-2012,44537
03-2012,44142
04-2012,41685
05-2012,44008
06-2012,36680
07-2012,39293
08-2012,39035
09-2012,35216
10-2012,43169
11-2012,42124
12-2012,42545
01-2013,52898
02-2013,43778
03-2013,44915
04-2013,49735
05-2013,42273
06-2013,35866
07-2013,39806
08-2013,35691
09-2013,36775
10-2013,42322
11-2013,39941
12-2013,42790
01-2014,49026
02-2014,41199
03-2014,41217
04-2014,41487
05-2014,39422
06-2014,38505
07-2014,41244
08-2014,35959
09-2014,40979
10-2014,43159
11-2014,39457
12-2014,49770
01-2015,60891
02-2015,46721
03-2015,47895
04-2015,45178
05-2015,39343
06-2015,42082
07-2015,40512
08-2015,36199
09-2015,41573
10-2015,42232
11-2015,41520
12-2015,45509
01-2016,47457
02-2016,46021
03-2016,48665
04-2016,46856
05-2016,41384
06-2016,42012
07-2016,38983
08-2016,40786
09-2016,40367
10-2016,40448
11-2016,46514
12-2016,45555
01-2017,57368
02-2017,47766
03-2017,48664
04-2017,39101
05-2017,44279
06-2017,42175
07-2017,38425
08-2017,41074
09-2017,40095
10-2017,43597
11-2017,45580
12-2017,45129
01-2018,64154
02-2018,49177
03-2018,51229
04-2018,46469
05-2018,42784
06-2018,39767
07-2018,40723
08-2018,40192
09-2018,37137
10-2018,44440
11-2018,43978
12-2018,41539
01-2019,53910
02-2019,45795
03-2019,43944
04-2019,44121
05-2019,44389
06-2019,38603
07-2019,42308
08-2019,38843
09-2019,40011
10-2019,46238
11-2019,45219
12-2019,47460
01-2020,56704
02-2020,43650
03-2020,49723
04-2020,88141
05-2020,52363
06-2020,42614
07-2020,40778
08-2020,37184
09-2020,42494
10-2020,46282
11-2020,51317
12-2020,56672
01-2021,73315
02-2021,58767
03-2021,48624
04-2021,41513
05-2021,37864
06-2021,41223
07-2021,43264
08-2021,43151
09-2021,47520
10-2021,46511
11-2021,51602
12-2021,52859
01-2022,53158
02-2022,45869
03-2022,49489
04-2022,45919
05-2022,48611